ticker,company_name,sector,industry,market_cap,ebit,net_working_capital,enterprise_value,return_on_capital,earnings_yield,momentum_6m,roc_rank,ey_rank,momentum_rank,composite_score,final_score
INBX,"Inhibrx Biosciences, Inc.",Healthcare,Biotechnology,999736512.0,1701065000.0,119668000.0,855188512.0,12.770183024788674,1.9891111446548524,,5,3,,8,8
SGU,"Star Group, L.P.",Energy,Oil & Gas Refining & Marketing,407700288.0,117225000.0,-141952000.0,668275288.0,1.466834340628402,0.17541423737338616,,47,48,,95,95
BWMX,"Betterware de México, S.A.P.I. de C.V.",Consumer Cyclical,Specialty Retail,625798464.0,1820487000.0,-226290000.0,5497056464.0,0.9636244394476415,0.33117487730429834,,85,15,,100,100
FOR,Forestar Group Inc.,Real Estate,Real Estate - Development,1289096320.0,209100000.0,-24400000.0,1727996320.0,6.554858934169279,0.12100720214496753,,8,97,,105,105
BCRX,"BioCryst Pharmaceuticals, Inc.",Healthcare,Drug Manufacturers - Specialty & Generic,2061581184.0,346263000.0,208280000.0,2410719184.0,1.5236022986280393,0.1436347303734735,,44,63,,107,107
SLI,Standard Lithium Ltd.,Basic Materials,Other Industrial Metals & Mining,1017442880.0,131733000.0,28919000.0,979498880.0,1.7082668741489984,0.1344901997233524,,31,77,,108,108
GIB,CGI Inc.,Technology,Information Technology Services,15386034176.0,2361211000.0,-48991000.0,18853144176.0,2.7112433631570245,0.1252422926360376,,20,90,,110,110
SCZM,Santacruz Silver Mining Ltd.,Basic Materials,Other Industrial Metals & Mining,852259264.0,194260000.0,46296000.0,836107264.0,1.0169136623235215,0.23233861056372787,,80,31,,111,111
RIGL,"Rigel Pharmaceuticals, Inc.",Healthcare,Biotechnology,479377728.0,129147000.0,140929000.0,492100728.0,0.9104540744030624,0.26244017261441643,,92,24,,116,116
NVO,Novo Nordisk A/S,Healthcare,Drug Manufacturers - General,169288384512.0,134747000000.0,-43208000000.0,273782384512.0,0.8158079554398499,0.49216826071618197,,104,12,,116,116
PXED,"Phoenix Education Partners, Inc.",Consumer Defensive,Education & Training Services,981246976.0,182589000.0,103905000.0,911323976.0,0.9887258963237324,0.2003557514215998,,81,40,,121,121
NVAX,"Novavax, Inc.",Healthcare,Biotechnology,1667649408.0,464714000.0,518326000.0,1675826408.0,0.7929961793308454,0.27730437817518866,,107,20,,127,127
CRMD,CorMedix Inc.,Healthcare,Biotechnology,509875008.0,152798000.0,192782000.0,513952008.0,0.7573217817120256,0.29730013235010067,,116,17,,133,133
IRWD,"Ironwood Pharmaceuticals, Inc.",Healthcare,Drug Manufacturers - Specialty & Generic,549506496.0,102771000.0,31960000.0,931852496.0,2.2987161134472576,0.11028676796075244,,24,115,,139,139
ODD,Oddity Tech Ltd.,Consumer Defensive,Household & Personal Products,782317440.0,115600000.0,98567000.0,754687440.0,0.876082788307781,0.15317599561482034,,98,54,,152,152
CCSI,"Consensus Cloud Solutions, Inc.",Technology,Software - Infrastructure,571123584.0,149537000.0,51621000.0,1067137584.0,0.8614477959305943,0.14012907261637597,,99,69,,168,168
GIS,"General Mills, Inc.",Consumer Defensive,Packaged Foods,21012463616.0,3383800000.0,-2581600000.0,35957263616.0,2.333494241776429,0.09410615991630412,,23,164,,187,187
AFYA,Afya Limited,Consumer Defensive,Education & Training Services,1249559552.0,1042743000.0,449589000.0,3552669552.0,0.5346604863892036,0.29350970720397584,,171,18,,189,189
FISV,"Fiserv, Inc.",,,30517716992.0,5795000000.0,764000000.0,58859716992.0,1.505977130977131,0.0984544319298653,,45,146,,191,191
TNET,"TriNet Group, Inc.",Industrials,Staffing & Employment Services,1747824768.0,273000000.0,231000000.0,2402824768.0,0.9820143884892086,0.11361627515902151,,83,109,,192,192
BRBR,"BellRing Brands, Inc.",Consumer Defensive,Packaged Foods,1993099648.0,357400000.0,382700000.0,3005599648.0,0.8897186955439382,0.11891137937743064,,96,100,,196,196
ADBE,Adobe Inc.,Technology,Software - Application,102345859072.0,8997000000.0,-37000000.0,103562859072.0,4.18854748603352,0.08687477422523664,,13,185,,198,198
HLF,Herbalife Ltd.,Consumer Defensive,Packaged Foods,1590796160.0,489500000.0,131800000.0,3427196160.0,0.6545867879112062,0.14282812455065308,,136,65,,201,201
WLTH,Wealthfront Corporation,Technology,Software - Application,1179946240.0,142039000.0,173227000.0,1050438240.0,0.7131223673178397,0.13521880163083172,,127,75,,202,202
MD,"Pediatrix Medical Group, Inc.",Healthcare,Medical Care Facilities,1679761536.0,252397000.0,304603000.0,1939135536.0,0.6675173823698206,0.1301595454852208,,132,79,,211,211
KARO,Karooooo Ltd.,Technology,Software - Application,1458472704.0,1297205000.0,204954000.0,1183775704.0,0.47811433788311747,1.0958199223186624,,207,8,,215,215
OSPN,OneSpan Inc.,Technology,Software - Infrastructure,401186176.0,50074000.0,57642000.0,336826176.0,0.5740324651504035,0.14866421783086123,,158,60,,218,218
INVA,"Innoviva, Inc.",Healthcare,Biotechnology,1647162496.0,343560000.0,677819000.0,1365238496.0,0.49769449068017957,0.25164833910455453,,194,26,,220,220
DLX,Deluxe Corporation,Industrials,Conglomerates,1197364608.0,241100000.0,22600000.0,2641364608.0,1.4471788715486193,0.09127857595644744,,51,171,,222,222
LEGH,Legacy Housing Corporation,Consumer Cyclical,Residential Construction,448493408.0,76727000.0,91564000.0,448740408.0,0.5290532107814407,0.17098304193724403,,174,49,,223,223
PAYO,Payoneer Global Inc.,Technology,Software - Infrastructure,1618238976.0,124667000.0,27196000.0,1275034976.0,1.022782836984166,0.09777535702675501,,77,149,,226,226
CTSH,Cognizant Technology Solutions Corporation,Technology,Information Technology Services,29137367040.0,3516000000.0,4159000000.0,28388367040.0,0.6206531332744925,0.12385354871049321,,148,92,,240,240
IT,"Gartner, Inc.",Technology,Information Technology Services,12018143232.0,1093395000.0,-5755000.0,13643572232.0,2.5883766349056043,0.08013993559806296,,21,221,,242,242
PRTH,"Priority Technology Holdings, Inc.",Technology,Software - Infrastructure,408135392.0,136933000.0,104718000.0,1378344392.0,0.8382592406675073,0.09934599857246708,,102,144,,246,246
STRA,"Strategic Education, Inc.",Consumer Defensive,Education & Training Services,1896779264.0,196140000.0,59914000.0,1865143264.0,0.7589764227422058,0.10516082264874212,,115,132,,247,247
BLBD,Blue Bird Corporation,Industrials,Farm & Heavy Construction Machinery,1687715712.0,176766000.0,174829000.0,1548726712.0,0.6237992730352543,0.11413634092468601,,147,108,,255,255
CMCSA,Comcast Corporation,Communication Services,Telecom Services,109899857920.0,30175000000.0,-3957000000.0,199828857920.0,0.48887772791341966,0.15100421587797064,,198,57,,255,255
EQNR,Equinor ASA,Energy,Oil & Gas Integrated,87922532352.0,32043000000.0,17146000000.0,112152532352.0,0.4338812760656448,0.28570910819410117,,238,19,,257,257
TDC,Teradata Corporation,Technology,Software - Infrastructure,2477255936.0,204000000.0,-77000000.0,2541255936.0,1.59375,0.0802752674809689,,39,220,,259,259
COLL,"Collegium Pharmaceutical, Inc.",Healthcare,Drug Manufacturers - Specialty & Generic,1095485824.0,174931000.0,251383000.0,1679097824.0,0.6537448193644588,0.10418154171820307,,138,133,,271,271
IMXI,"International Money Express, Inc.",Technology,Software - Infrastructure,469555968.0,95016000.0,145785000.0,520725968.0,0.4426554856743536,0.18246833428518394,,229,43,,272,272
NATH,"Nathan's Famous, Inc.",Consumer Cyclical,Restaurants,410914592.0,36867000.0,28371000.0,439036592.0,1.0393267929634642,0.08397249949498514,,76,201,,277,277
